Vout_set [V],Vout_meas [V],Iout_meas [A],Vin_meas [V],Iin_meas [A],Pin_calc [W],Pout_calc [W],Eff_calc
33.3,33.391,0.023,12,0.062,0.744,0.767993,103%
33.3,33.379,0.033,12,0.09,1.08,1.101507,102%
33.3,33.289,0.063,12,0.184,2.208,2.097207,95%
33.3,33.208,0.113,12,0.335,4.02,3.752504,93%
33.3,33.152,0.213,12,0.635,7.62,7.061376,93%
33.3,24.764,0.514,12,1.161,13.932,12.728696,91%
33.3,17.273,1.013,12,1.621,19.452,17.497549,90%
33.3,16.388,1.113,12,1.695,20.34,18.239844,90%
33.3,15.56,1.213,12,1.761,21.132,18.87428,89%
