Vout_set [V],Vout_meas [V],Iout_meas [A],Vin_meas [V],Iin_meas [A],Pin_calc [W],Pout_calc [W],Eff_calc
10,10.986,0.063,12,0.078,0.936,0.692118,74%
10,10.977,0.113,12.002,0.134,1.608268,1.240401,77%
10,10.963,0.213,12.002,0.244,2.928488,2.335119,80%
10,10.924,0.514,12.002,0.581,6.973162,5.614936,81%
10,10.912,0.614,12.002,0.697,8.365394,6.699968,80%
10,10.314,0.714,12.002,0.78,9.36156,7.364196,79%
10,8.294,0.813,12.002,0.732,8.785464,6.743022,77%
10,6.975,0.914,12.002,0.714,8.569428,6.37515,74%
10,5.991,1.014,12.002,0.69,8.28138,6.074874,73%
